project,mainline_commit,backport_commit,git_apply_success,patch_type,error
druid,5b09329479117a54f68d5ce9e4c8b245d76a8f79,3ba7badda390977805600942d71016b5af12751b,True,TYPE-I,
druid,074944e02c7fb29b9f4160626ff8dc6fd225b0a9,06c1a6a31eaa2339a8507658ea1baf378da48e4a,True,TYPE-V,
druid,3d45f9829c7b80e3b5289aaf5710b3932639349e,4a8008aebb7b3f324325feabd1b5a11a07e76022,True,TYPE-I,
druid,c7c3307e6193db8ddc879f48bbf3b9e3d1b41a6c,11727af2a6c464b57047b1a97ff5053daa6fb0dd,True,TYPE-I,
druid,f8015eb02a95925036b4ce5ad0c1384ff634b30a,d6858771d1acb63c5fb39a3a6bcd62b03461dc15,True,TYPE-I,
druid,a151bcfd12e86b3ace7a9776cb7bc1e87ea2a017,e1dc60f21d7d9ec502c1f256ac27b5e6abd92792,True,TYPE-II,
druid,ae6afc0751b8912b7beb374ffca589e288b3ed9f,f283849821d0ffde5dfe6a64a7400f0191ef5989,True,TYPE-I,
elasticsearch,da51c8ccbf0171abefb2978810efd6db0f6f743e,b25542fd147164cd0e89a803bbe49f865972abdb,True,TYPE-I,
elasticsearch,c94c021d0e2695f571a1fc841c46ee43f2d5a3ae,e867dcdb61cafeaa590dccfec0bc595ad3aac495,False,TYPE-V,error: patch failed: x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/parser/StatementParserTests.java:494
elasticsearch,595251d5a10d6c4dc14ddfa7d4d7b6e2d5fab3ab,cd93409c3450fa843ed48cfc6c2042835b9e39b7,True,TYPE-II,
elasticsearch,734dd070e719f0bac49953fbfb983fe8f19bd1de,c5a3eb86ffd964343865e2f48423f850f8f916ad,False,TYPE-V,error: patch failed: x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/plugin/DataNodeRequestSender.java:17
elasticsearch,deeeadc01f86d08f887cbfcb0dc40caf3b7374f4,655e3ce1310196a95b154773106699d36d9fc8cb,False,TYPE-V,error: patch failed: x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/analysis/Verifier.java:237
elasticsearch,21845ad7a18821ccd80927211285308bb3eb8038,56e19e28bd098337f57e5b49f45ae14137fd3e72,False,TYPE-V,error: patch failed: x-pack/plugin/esql/src/main/antlr/EsqlBaseLexer.g4:223
elasticsearch,88cf2487e7deb38686870e40bf08b2b729b7d848,223d50f0524d3d3e9a19f18a3b146212ff830042,False,TYPE-III,error: patch failed: server/src/main/java/org/elasticsearch/script/ScriptStats.java:28
elasticsearch,af6014ecb534a38e42b33c0783731ab0c0264e9b,d2778383792d414973065084d5cbcf4da32a2399,True,TYPE-I,
elasticsearch,4f6a0e6840042133f937b0ddfd160e97ac2b68a1,f2d8f7d6d293bfdfdaeeedff3f82fbdfbaca67ff,True,TYPE-I,
elasticsearch,763e7cd44a8b74ecc51489b577e0da7c302f458e,04ba85c4d223d458514c6e7558a7d3b541681810,True,TYPE-I,
elasticsearch,4d2b8dc4f2e908821dfb34d4ffc14244fce83c41,8421006641a2d8e617636d0a10bbe63e60648420,True,TYPE-I,
elasticsearch,41f09bf1fcba928dd5e94f1a0bab9c747d71b312,cc3c3870ecd91511f600a96612c30a3abbbb0129,False,TYPE-II,error: patch failed: server/src/main/java/org/elasticsearch/action/admin/cluster/allocation/TransportGetAllocationStatsAction.java:69
elasticsearch,187b192dfe7c6dc60bfa59fcd90c0ce1e6e3a857,41f09bf1fcba928dd5e94f1a0bab9c747d71b312,False,TYPE-V,error: patch failed: server/src/main/java/org/elasticsearch/action/admin/cluster/allocation/TransportGetAllocationStatsAction.java:28
elasticsearch,f5e2a92a3171808bd163570c3e1546230ec7c5ac,2aa011d594ee87cefbae255310afe75afc6a00e1,False,TYPE-II,error: patch failed: server/src/main/java/org/elasticsearch/search/vectors/KnnScoreDocQuery.java:17
elasticsearch,7cbd305a1605bd0fc3c181fb1790952f23fceaef,da7df4cf074fa2d2874342eab4a2535ef6caae43,True,TYPE-I,
