unique_id,repo,key,scope,complexity,commit,date,message,_source_file,original_commit
druid_17369_31.0.0,druid,17369_31.0.0,S3,C5,3ba7badda390977805600942d71016b5af12751b,2024-10-18 04:47:07+00:00,"Backport ""Fixes an issue with AppendableMemory that can cause MSQ jobs to fail"" (#17369) (#17372)",filtered\s3_newtests\druid_S3_patches.csv,5b09329479117a54f68d5ce9e4c8b245d76a8f79
druid_17319_31.0.0,druid,17319_31.0.0,S3,C5,06c1a6a31eaa2339a8507658ea1baf378da48e4a,2024-10-10 11:15:34+00:00,"[Backport] Dart backports for (#17312) , (#17313) , (#17319) (#17322)",filtered\s3_newtests\druid_S3_patches.csv,074944e02c7fb29b9f4160626ff8dc6fd225b0a9
druid_17094_31.0.0,druid,17094_31.0.0,S3,C3,4a8008aebb7b3f324325feabd1b5a11a07e76022,2024-10-02 02:14:33+00:00,Use the whole frame when writing rows. (#17094) (#17195),filtered\s3_newtests\druid_S3_patches.csv,3d45f9829c7b80e3b5289aaf5710b3932639349e
druid_16885_31.0.0,druid,16885_31.0.0,S3,C1,11727af2a6c464b57047b1a97ff5053daa6fb0dd,2024-09-19 03:32:12+00:00,Fix String Frame Readers to read String Arrays correctly (#16885) (#17103),filtered\s3_newtests\druid_S3_patches.csv,c7c3307e6193db8ddc879f48bbf3b9e3d1b41a6c
druid_16334_30.0.0,druid,16334_30.0.0,S3,C1,d6858771d1acb63c5fb39a3a6bcd62b03461dc15,2024-05-03 15:58:47+00:00,Add config lagAggregate to LagBasedAutoScalerConfig  (#16334) (#16377),filtered\s3_newtests\druid_S3_patches.csv,f8015eb02a95925036b4ce5ad0c1384ff634b30a
druid_16096_29.0.1,druid,16096_29.0.1,S3,C3,e1dc60f21d7d9ec502c1f256ac27b5e6abd92792,2024-03-19 12:16:42+00:00,Fix incorrect header names for certain export queries (#16096) (#16167),filtered\s3_newtests\druid_S3_patches.csv,a151bcfd12e86b3ace7a9776cb7bc1e87ea2a017
druid_15738_29.0.0,druid,15738_29.0.0,S3,C1,f283849821d0ffde5dfe6a64a7400f0191ef5989,2024-02-08 16:17:41+00:00,Extend unused segment metadata api response to include created date and last used updated time (#15738) (#15867),filtered\s3_newtests\druid_S3_patches.csv,ae6afc0751b8912b7beb374ffca589e288b3ed9f
elasticsearch_121948_8.19,elasticsearch,121948_8.19,S3,C5,56e19e28bd098337f57e5b49f45ae14137fd3e72,2025-05-01 21:28:14+00:00,ESQL: Improve error message for ( and [ (#124177) (#127620),filtered\s3_newtests\elasticsearch_S3_patches.csv,21845ad7a18821ccd80927211285308bb3eb8038
elasticsearch_122801_8.x,elasticsearch,122801_8.x,S3,C5,2aa011d594ee87cefbae255310afe75afc6a00e1,2025-02-24 09:33:50+00:00,[8.x] Add rescore knn vector test coverage (#122801) (#123239),filtered\s3_newtests\elasticsearch_S3_patches.csv,f5e2a92a3171808bd163570c3e1546230ec7c5ac
elasticsearch_122535_8.x,elasticsearch,122535_8.x,S3,C3,c0ce37d129b605da91462bf89231a0109aa417d8,2025-02-14 02:41:21+00:00,[8.x] Add action to copy index metadata when reindexing data stream indices (#122535) (#122559),filtered\s3_newtests\elasticsearch_S3_patches.csv,aba25c628a52161a1d2c73c1868a437ad5dac6a2
elasticsearch_120246_8.x,elasticsearch,120246_8.x,S3,C5,ddd0ffa8a14d27839a2497d6595c46c84cf70099,2025-01-18 07:40:44+00:00,backport http-stream-content-size-handler (#120417),filtered\s3_newtests\elasticsearch_S3_patches.csv,43e3e24d075332ed8c697113236ee4126fd56603
elasticsearch_120207_8.x,elasticsearch,120207_8.x,S3,C3,dc3aaf1dc10d0c22ae867f118a51209555908055,2025-01-16 17:09:25+00:00,Make requests_per_second configurable to throttle reindexing (#120207) (#120300),filtered\s3_newtests\elasticsearch_S3_patches.csv,7ac250077300e4b206e740da166fd3eec9dac389
elasticsearch_118353_8.x,elasticsearch,118353_8.x,S3,C3,da55d6c2709ecb448d1bf9b53f53bdbd2f2a40fc,2024-12-19 17:54:49+00:00,Epoch Millis Rounding Down and Not Up (#118353) (#119104),filtered\s3_newtests\elasticsearch_S3_patches.csv,ee163eb6be25b7d0abf4bbfb54d006d0ddcf1e9f
elasticsearch_115048_8.x,elasticsearch,115048_8.x,S3,C1,e7ac7c3c960e38fb06aabdc09efc3e635424732b,2024-10-18 18:58:04+00:00,Add timeout and cancellation check to rescore phase (#115048) (#115132),filtered\s3_newtests\elasticsearch_S3_patches.csv,a5118c2d9fa5e2442c408089387e75337b2a5d4a
elasticsearch_114683_8.x,elasticsearch,114683_8.x,S3,C5,ffcf87ce1dbd769b5d12df18b48653a9ede8b5c3,2024-10-15 00:14:49+00:00,[ML] Default inference endpoint for the multilingual-e5-small model (#114683) (#114779),filtered\s3_newtests\elasticsearch_S3_patches.csv,5efba5b43d79c15d8d7304d32e4f95a741134ffb
